Month,Active Players,New Players,Proposals,Names
2008-10,21,3,74,"Aemos, arthexis, Bucky, Call for Judgment, Clucky, Darknight, Dustin, Hello Sailor, Joe, Kevan, Oze, Purplebeard, Qapmoc, Rodlen, Rodney, SPBM, spikebrennan, Tripwire, TrumanCapote, Xaxyx, Yoda"
2008-11,20,6,114,"Aemos, Armayus, arthexis, Bucky, ChronosPhaenon, Darknight, Gnauga, Hello Sailor, jockawo, Kevan, Klisz, Oni Tainlyn, ovangle, Oze, Purplebeard, Rodlen, Rodney, SingularByte, spikebrennan, Yoda"
2008-12,28,8,111,"Amnistar, arthexis, Bucky, Call for Judgment, Cayvie, Chivalrybean, Clucky, Darknight, Elias IX, eljefe, Escher, Gnauga, jmrdex, kaddar, Kels, Klisz, Oze, Rodlen, Rodney, Sgeo, SingularByte, spikebrennan, Syl, teucer, tusho, Wooble, Yoda, zuff"
2009-01,27,8,153,"75th Trombone, Amnistar, arthexis, Bucky, Call for Judgment, Clucky, Darknight, Escher, Gnauga, Gramira, Igthorn, Kevan, Klisz, Leurez, omd, Qwazukee, Rodlen, SingularByte, Sparrow, spikebrennan, teucer, The Cube, Wakukee, Wooble, Wooden Squid, Yoda, zuff"
2009-02,25,1,135,"ais523, Amnistar, arthexis, Clucky, Darknight, Devenger, dogfish, Elias IX, Gnauga, Hix, Igthorn, Kevan, Klisz, Oze, Qwazukee, Rodlen, SingularByte, Sparrow, Syl, TrumanCapote, Wakukee, Wooble, Wooden Squid, Yoda, zuff"
2009-03,28,10,69,"ais523, allispaul, Altharis, arthexis, Clucky, Darknight, Devenger, dogfish, garrinok, gill_smoke, Gnauga, Igthorn, Influenza, Jeid, Josh, Jupiter, Kelvin, Kevan, Klisz, omd, Oze, Psychotipath, Qwazukee, Rodlen, SingularByte, Tiger, Wakukee, Yoda"
2009-04,14,4,22,"ais523, Aquila, arthexis, Devenger, FiSH, Gnauga, Ienpw III, Josh, Kevan, Klisz, Qwazukee, Rodlen, tuxhedoh, Wakukee"
2009-05,26,3,102,"ais523, arthexis, Bucky, C-walker, Clucky, Darknight, delta, Devenger, firefaux, Ienpw III, Influenza, Josh, Kevan, Klisz, Oze, Psychotipath, Quazie, Qwazukee, Rodlen, SingularByte, smith, spikebrennan, TAE, tuxhedoh, Wakukee, Yoda"
2009-06,25,6,89,"ais523, Amnistar, arthexis, Bobbikk, Bucky, Clucky, Darknight, delta, evilclown, Ienpw III, Klisz, MacMed, Neil, omd, Psychotipath, Qapmoc, Qwazukee, Rodlen, Sgt. Zed, Shem, SingularByte, smith, spikebrennan, Wakukee, Wooble"
2009-07,18,3,68,"ais523, Amnistar, arthexis, Bucky, Clucky, Darknight, Euler, geographyrules, Ienpw III, Klisz, MacMed, Mossfire, Qwazukee, Rodlen, Shem, spikebrennan, Wakukee, Wooble"
